Άγγλος: Άγγλους,Άγγλοι,Άγγλου,Άγγλο,Άγγλων
λαχανίδα: λαχανίδας,λαχανίδων,λαχανίδες
λαχαναγορά: λαχαναγοράς,λαχαναγορών,λαχαναγορές
λαχανιάζω: λαχανιάσουμε,λαχάνιαζαν,λαχανιάζουν,λαχανιάσουν,λαχανιάζει,λαχάνιαζε,λαχανιάσεις,λαχανιάζαμε,λαχάνιαζα,λαχάνιασαν,λαχάνιασα,λαχανιάσαμε,λαχανιάσετε,λαχανιάζατε,λαχανιάζεις,λαχάνιασε,λαχανιάζουμε,λαχανιάζετε,λαχανιάζοντας,λαχανιάσω,λαχάνιασες,λαχανιάσει,λαχανιάσατε,λαχάνιαζες
λαχανιασμένος: λαχανιασμένοι,λαχανιασμένων,λαχανιασμένου,λαχανιασμένα,λαχανιασμένη,λαχανιασμένες,λαχανιασμένης,λαχανιασμένο,λαχανιασμένους
λαχανικό: λαχανικά,λαχανικών,λαχανικού
λαχανοπώλης: λαχανοπώλη,λαχανοπωλών,λαχανοπώλες
λαχανόκηπος: λαχανόκηπου,λαχανόκηπο,λαχανόκηπους,λαχανόκηπων,λαχανόκηποι
λαχείο: λαχείου,λαχείων,λαχεία
λαχνός: λαχνό,λαχνοί,λαχνούς,λαχνών,λαχνού
λαχτάρα: λαχτάρων,λαχτάρες,καημός,λαχτάρας
λαχταριστός: λαχταριστές,λαχταριστή,λαχταριστούς,λαχταριστοί,λαχταριστών,λαχταριστά,λαχταριστού,λαχταριστό,λαχταριστής
λαχταρώ: λαχταράς,λαχταρήσαμε,λαχταρήσουν,λαχταρώνταςι,λαχταρήσετε,λαχταρούσατε,λαχτάρησε,λαχταρήσει,λαχταράτε,λαχταρούσαν,λαχτάρησα,λαχταρήσεις,λαχταρούσες,λαχταρήσω,λαχταρήσουμε,λαχταρούσε,λαχταρούσαμε,λαχταρούμε,λαχταράμε,λαχτάρησαν,λαχταρούσα,λαχταρήσατε,λαχτάρησες,λαχταρίζω,λαχταράει,λαχταρούν
λαϊκισμός: λαϊκισμού,λαϊκισμούς,λαϊκισμό,λαϊκισμών,λαϊκισμοί
λαϊκός: δημοτικός,λαϊκή,λαϊκοί,λαϊκά,λαϊκού,λαϊκών,λαϊκούς,λαϊκής,λαϊκές,λαϊκό
λαϊκότητα: λαϊκότητας
λαός: λαούς,λαοί,λαού,λαών,λαό
λείος: λείους,λείες,λείοι,λείας,λείο,λείων,λεία,λείου
λείπει: παραλείπει,απολείπει
λείπεσαι: καταλείπεσαι,απολείπεσαι,παραλείπεσαι
λείπεστε: παραλείπεστε,καταλείπεστε,απολείπεστε
λείπεται: απολείπεται,καταλείπεται,παραλείπεται
λείπετε: παραλείπετε
λείπομαι: παραλείπομαι,καταλείπομαι,απολείπομαι
λείπονται: παραλείπονται,απολείπονται,καταλείπονται
λείπονταν: παραλείπονταν,καταλείπονταν,απολείπονταν
λείπουν: παραλείπουν
λείπω: έλειπες,λείπατε,λείπουν,λείπεις,έλειπαν,λείπαμε,λείψω,έλειψε,λείψουμε,λείψατε,λείπει,έλειψα,λείποντας,λείψετε,λείψεις,απολείπω,έλειψες,έλειπε,λείψαμε,έλειψαν,λείπετε,λείψει,λείψουν,έλειπα,παραλείπω,λείπουμε
λείχω: έληξε,λείχαμε,λείχετε,λείχουμε,λείχοντας,έλειχα,λήξαμε,λήξω,λείχατε,λήξεις,έλειχε,γλύφω,λήξει,έληξα,λείχεις,έλειχαν,λήξουμε,λείχουν,λείχει,λήξατε,έληξαν,έληξες,έλειχες,λήξουν,λήξετε
λείψανο: λείψανα,λειψάνου,λειψάνων
λείψει: αλείψει,παραλείψει
λείψεις: παραλείψεις,αλείψεις
λείψετε: παραλείψετε,αλείψετε
λείψουν: απολείψουν,παραλείψουν,αλείψουν
λείψω: παραλείψω,αλείψω
λεβάντα: λεβάντας
λεβαντίνος: λεβαντίνο,λεβαντίνου
λεβεντιά: λεβεντιών
λεγεωνάριος: λεγεωνάριους,λεγεωνάριων,λεγεωνάριου,λεγεωνάριο,λεγεωνάριοι
λεγόμασταν: παραλεγόμασταν,καταλεγόμασταν,ξαναλεγόμασταν
λεγόμαστε: παραλεγόμαστε,καταλεγόμαστε,ξαναλεγόμαστε
λεγόμενος: λεγόμενο,λεγάμενος,λεγόμενη
λεγόμουν: καταλεγόμουν,ξαναλεγόμουν,παραλεγόμουν
λεγόντουσαν: ξαναλεγόντουσαν,καταλεγόντουσαν,παραλεγόντουσαν
λεγόσασταν: ξαναλεγόσασταν,παραλεγόσασταν,καταλεγόσασταν
λεγόσαστε: καταλεγόσαστε,ξαναλεγόσαστε,παραλεγόσαστε
λεγόσουν: ξαναλεγόσουν,καταλεγόσουν,παραλεγόσουν
λεγόταν: παραλεγόταν,καταλεγόταν,ξαναλεγόταν
λεζάντα: λεζάντες,λεζάντων,λεζάντας
λεηλασία: λεηλασίες,λεηλασιών,λεηλασίας
λεηλατώ: λεηλατούσαμε,λεηλατήσατε,λεηλατήσω,λεηλατούσε,λεηλατώντας,λεηλατούν,λεηλατήσει,λεηλάτησα,λεηλάτησαν,λεηλατούσα,λεηλάτησε,λεηλατήσαμε,λεηλάτησες,λεηλατούμε,λεηλατήσουμε,λεηλατήσεις,λεηλατείτε,λεηλατούσατε,λεηλατείς,λεηλατούσαν,λεηλατούσες,λεηλατεί,λεηλατήσετε,λεηλατήσουν
λειαίνω: λειαίνουν,λειαίνεις,λείαιναν,λειάνει,λείανε,λείαινε,λειάναμε,λειάνω,λείαινα,λειάνετε,λείανες,λείαναν,λειαίνετε,λειαίνουμε,λείαινες,λειαίνει,λειάνουμε,λείανα,λειαίνατε,λειάνουν,λειάνεις,λειαίνοντας,λειάνατε,γυαλίζω,λειαίναμε
λειπόμασταν: καταλειπόμασταν,παραλειπόμασταν,απολειπόμασταν
λειπόμαστε: απολειπόμαστε,καταλειπόμαστε,παραλειπόμαστε
λειπόμουν: απολειπόμουν,παραλειπόμουν,καταλειπόμουν
λειπόντουσαν: απολειπόντουσαν,καταλειπόντουσαν,παραλειπόντουσαν
λειπόσασταν: καταλειπόσασταν,παραλειπόσασταν,απολειπόσασταν
λειπόσαστε: απολειπόσαστε,παραλειπόσαστε,καταλειπόσαστε
λειπόσουν: απολειπόσουν,παραλειπόσουν,καταλειπόσουν
λειπόταν: παραλειπόταν,καταλειπόταν,απολειπόταν
λειρί: λειριά,λειριού,λειριών
λειτουργία: λειτουργιών,λειτουργών,λειτουργίες,λειτουργίας
λειτουργιά: λειτουργιών
λειτουργικά: λειτουργικών
λειτουργικό: λειτουργικά
λειτουργικός: λειτουργικών,λειτουργικά,λειτουργικής,λειτουργικού,λειτουργικούς,λειτουργική,λειτουργικοί,λειτουργικό,λειτουργικές
λειτουργός: λειτουργού,λειτουργών,λειτουργό,λειτουργοί,λειτουργούς
λειτουργώ: λειτουργούσα,λειτουργούσατε,λειτουργήσαμε,λειτουργούσαμε,λειτούργησα,λειτούργησε,λειτουργεί,λειτουργήσατε,λειτουργούν,λειτουργείς,λειτουργούσες,λειτουργούμε,απολειτουργώ,λειτουργήσω,λειτουργούσαν,λειτουργήσουμε,λειτουργήσεις,λειτουργήσετε,λειτούργησες,λειτουργήσει,λειτουργήσουν,λειτουργώντας,λειτουργείτε,λειτουργούσε,λειτούργησαν
λειχήνα: λειχήνες,λειχήνων,λειχήνας
λειψανοθήκη: λειψανοθήκης
λειψυδρία: λειψυδρίας
λεκάνη: λεκανών,λεκάνες,λεκάνης
λεκές: λεκέδων,λεκέ,λεκέδες
λεκανοπέδιο: λεκανοπεδίων,λεκανοπέδια,λεκανοπεδίου
λεκιάζω: λεκιάζει,λέκιασαν,λεκιάσαμε,λεκιάσει,λεκιάζουν,λέκιασες,λέκιασα,λεκιάζεις,λεκιάσατε,λέκιασε,λεκιάζουμε,λεκιάζετε
λεκτικό: λεκτικών,λεκτικού,λεκτικά
λεκτικός: λεκτικώς
λελέκι: λελέκια,λέλεκας,λελεκιού,λελεκιών
λεμβοδρομία: λεμβοδρομίας,λεμβοδρομιών,λεμβοδρομίες
λεμονάδα: λεμονάδας,λεμονάδων,λεμονάδες
λεμόνι: λεμονιών,λεμόνια,λεμονιού
λεξίγριφος: λεξίγριφου,λεξίγριφο
λεξικογράφος: λεξικογράφοι,λεξικογράφους,λεξικογράφων,λεξικογράφο,λεξικογράφου
λεξικογραφία: λεξικογραφίας
λεξικογραφικά: λεξικογραφικών
λεξικολογικά: λεξικολογικών
λεξικό: λεξικά,λεξικού,λεξικών
λεξιλόγιο: λεξιλογίων,λεξιλόγια,λεξιλογίου
λεοπάρδαλη: πάρδαλη,λεοπαρδάλεις,λεοπαρδάλεων,λεοπάρδαλης,λεοπαρδαλών
λεπίδα: λεπίδι,λεπίδας,λεπίδων,λεπιδιών,λεπίδες
λεπιδωτός: λεπιδωτή,λεπιδωτό,λεπιδωτής,λεπιδωτές,λεπιδωτών,λεπιδωτά,λεπιδωτούς,λεπιδωτού,λεπιδωτοί
λεπρός: λεπρό,λεπρού,λεπρής,λεπρή
λεπτεπίλεπτος: λεπτεπίλεπτο,λεπτεπίλεπτη
λεπτοκαμωμένος: λεπτός,λεπτοκαμωμένο,λεπτοκαμωμένη
λεπτολογικά: λεπτολογικών
λεπτολογώ: λεπτολογήσουν,λεπτολογούν,λεπτολογήσει,λεπτολογούσες,λεπτολόγησα,λεπτολογήσεις,λεπτολογήσουμε,λεπτολογούσαν,λεπτολογήσω,λεπτολόγησε,λεπτολογείτε,λεπτολογούσα,λεπτολογούσατε,λεπτολαγώντας,λεπτολογήσαμε,λεπτολόγησες,λεπτολογείς,λεπτολογήσατε,λεπτολόγησαν,λεπτολογούσαμε,λεπτολογούσε,λεπτολογεί,λεπτολογήσετε,λεπτολογούμε
λεπτολόγος: λεπτολόγο,λεπτολόγων,λεπτολόγοι,λεπτολόγου,λεπτολόγους
λεπτομέρεια: λεπτομερειών,λεπτομέρειας,λεπτομέρειες
λεπτομερής: λεπτομερών,λεπτομερή,λεπτομερείς,λεπτομερώς,λεπτομερούς,λεπτομερές
λεπτομερειακός: λεπτομερειακώς
λεπτομερώς: καταλεπτώς
λεπτοφυής: λεπτοφυές,λεπτοφυώς,λεπτοφυή,λεπτοφυών
λεπτυνόμασταν: απολεπτυνόμασταν
λεπτυνόμαστε: απολεπτυνόμαστε
λεπτυνόμουν: απολεπτυνόμουν
λεπτυνόντουσαν: απολεπτυνόντουσαν
λεπτυνόσασταν: απολεπτυνόσασταν
λεπτυνόσαστε: απολεπτυνόσαστε
λεπτυνόσουν: απολεπτυνόσουν
λεπτυνόταν: απολεπτυνόταν
λεπτό: λεπτών,Ευρώ,λεπτού,λεπτά
λεπτός: λεπτό,λεπτή
λεπτότητα: λεπτότητας
λεπτύνεσαι: απολεπτύνεσαι
λεπτύνεστε: απολεπτύνεστε
λεπτύνεται: απολεπτύνεται
λεπτύνομαι: απολεπτύνομαι
λεπτύνονται: απολεπτύνονται
λεπτύνονταν: απολεπτύνονταν
λεπτύνω: λέπτυνες,λέπτυνε,λεπτύνουμε,λέπτυναν,λεπτύνατε,λεπτύνετε,λεπτύνεις,λεπτύναμε,λέπτυνα,λεπτύνοντας,λεπτύνει,λεπτύνουν
λερωμένες: καταλερωμένες
λερωμένος: λερωμένης,λερωμένη,λερωμένο,λερός,λερωμένου
λερωνόμασταν: καταλερωνόμασταν,ξαναλερωνόμασταν,απολερωνόμασταν
λερωνόμαστε: καταλερωνόμαστε,ξαναλερωνόμαστε,απολερωνόμαστε
λερωνόμουν: καταλερωνόμουν,ξαναλερωνόμουν,απολερωνόμουν
λερωνόντουσαν: καταλερωνόντουσαν,ξαναλερωνόντουσαν,απολερωνόντουσαν
λερωνόσασταν: απολερωνόσασταν,ξαναλερωνόσασταν,καταλερωνόσασταν
λερωνόσαστε: απολερωνόσαστε,καταλερωνόσαστε,ξαναλερωνόσαστε
λερωνόσουν: καταλερωνόσουν,απολερωνόσουν,ξαναλερωνόσουν
λερωνόταν: καταλερωνόταν,ξαναλερωνόταν,απολερωνόταν
λερός: λεροί,λερωμένος,λερού,λερά,λερών,λερές,λερούς,λερό,λερή,λερής
λερώνεσαι: απολερώνεσαι,ξαναλερώνεσαι,καταλερώνεσαι
λερώνεστε: ξαναλερώνεστε,καταλερώνεστε,απολερώνεστε
λερώνεται: απολερώνεται,ξαναλερώνεται,καταλερώνεται
λερώνομαι: ξαναλερώνομαι,λερωθεί,λερώθηκα,λερωθήκατε,λερώθηκαν,λερώθηκε,λερωνόμαστε,λερωνόμουν,λερώθηκες,λερώνονταν,λερώνονται,λερώνεται,καταλερώνομαι,λερώνεστε,λερωνόταν,λερώνεσαι,απολερώνομαι,λερωθήκαμε
λερώνονται: καταλερώνονται,ξαναλερώνονται,απολερώνονται
λερώνονταν: απολερώνονταν,ξαναλερώνονταν,καταλερώνονταν
λερώνω: λερώσετε,λέρωνες,λερώσαμε,λερώνατε,λερώνουμε,λερώσατε,λερώσουν,λερώσει,λερώνοντας,λέρωσες,λερώσεις,λέρωνε,λέρωσε,λερώσω,λερώσουμε,λερώναμε,λέρωναν,λέρωσαν,λερώνετε,καταλερώνω,λέρωσα,λερώνουν,λερώνει,λερώνεις,λέρωνα
λεσβία: λεσβιών,λεσβίας,λεσβίες
λεσιών: αλεσιών
λευκαίνεσαι: καταλευκαίνεσαι
λευκαίνεστε: καταλευκαίνεστε
λευκαίνεται: καταλευκαίνεται
λευκαίνομαι: καταλευκαίνομαι
λευκαίνονται: καταλευκαίνονται
λευκαίνονταν: καταλευκαίνονταν
λευκαίνω: απολευκαίνω,λευκαίνει,λευκαίνοντας,λεύκαινα,λευκαίνατε,λευκαίνετε,λεύκαινε,λευκαίνουμε,λευκαίναμε,λευκαίνουν,λευκαίνεις,λεύκαινες,λεύκαιναν
λευκαινόμασταν: καταλευκαινόμασταν
λευκαινόμαστε: καταλευκαινόμαστε
λευκαινόμουν: καταλευκαινόμουν
λευκαινόντουσαν: καταλευκαινόντουσαν
λευκαινόσασταν: καταλευκαινόσασταν
λευκαινόσαστε: καταλευκαινόσαστε
λευκαινόσουν: καταλευκαινόσουν
λευκαινόταν: καταλευκαινόταν
λευκαντικό: λευκαντιών,λευκαντικού,λευκαντικά
λευκοκύτταρο: λευκοκύτταρου,λευκοκύτταρα,λευκοκύτταρων
λευκοσίδηρος: λευκοσιδήρου,λευκοσίδηρων,λευκοσίδηροι,λευκοσίδηρο,λευκοσίδηρους
λευκός: λευκά,λευκό,λευκούς,λευκές,λευκοί,λευκή,λευκής,λευκών,λευκού,άσπρος
λευκότητα: λευκότητας
λευκόχρυσος: λευκόχρυσο,λευκόχρυσου
λευτεριά: λευτεριάς,ελευθερία,λευτεριών,λευτεριές
λευχαιμία: λευχαιμίας
λευχαιμικά: λευχαιμικών
λεωφορείο: λεωφορείων,λεωφορεία,λεωφορείου
λεωφόρος: λεωφόροι,λεωφόρο,λεωφόρους,λεωφόρου,λεωφόρων
λεύγα: λεύγας
λεύκα: λεύκας,λεύκες,λεύκων,καβάκι
λεύκανση: απολεύκανση
λεύκωμα: λευκώματος,λευκωμάτων,λευκώματα
ληθαργικός: ληθαργικό,ληθαργικούς,ληθαργικά,ληθαργικού,ληθαργικοί,ληθαργικής,ληθαργική,ληθαργικών,ληθαργικές
ληκτικά: καταληκτικά
ληκτικέ: καταληκτικέ
ληκτικές: καταληκτικές
ληκτική: καταληκτική
ληκτικής: καταληκτικής
ληκτικοί: καταληκτικοί
ληκτικού: καταληκτικού
ληκτικούς: καταληκτικούς
ληκτικό: καταληκτικό
ληκτικός: ληκτικής,ληκτικό,ληκτικού,καταληκτικός,ληκτική
ληκτικών: καταληκτικών
λημέρι: λημεριών,λημεριού,λημέρια
ληξίαρχος: ληξίαρχο,ληξίαρχου
ληξιαρχείο: ληξιαρχείων,ληξιαρχεία,ληξιαρχείου
ληξιπρόθεσμος: ληξιπρόθεσμη,ληξιπρόθεσμο,ληξιπρόθεσμου,ληξιπρόθεσμης
ληπτριών: παραληπτριών
ληπτών: παραληπτών,καταληπτών
λησμονά: απολησμονά
λησμονάγαμε: απολησμονάγαμε
λησμονάγατε: απολησμονάγατε
λησμονάει: απολησμονάει
λησμονάμε: απολησμονάμε
λησμονάν: απολησμονάν
λησμονάς: απολησμονάς
λησμονάτε: απολησμονάτε
λησμονάω: απολησμονάω
λησμονήθηκα: απολησμονήθηκα,αλησμονήθηκα
λησμονήθηκαν: αλησμονήθηκαν,απολησμονήθηκαν
λησμονήθηκε: αλησμονήθηκε,απολησμονήθηκε
λησμονήθηκες: απολησμονήθηκες,αλησμονήθηκες
λησμονήσαμε: απολησμονήσαμε,αλησμονήσαμε
λησμονήσατε: απολησμονήσατε,αλησμονήσατε
λησμονήσει: απολησμονήσει,αλησμονήσει
λησμονήσεις: απολησμονήσεις,αλησμονήσεις
λησμονήσετε: απολησμονήσετε,αλησμονήσετε
λησμονήσου: απολησμονήσου,αλησμονήσου
λησμονήσουμε: αλησμονήσουμε,απολησμονήσουμε
λησμονήσουν: αλησμονήσουν,απολησμονήσουν
λησμονήστε: αλησμονήστε,απολησμονήστε
λησμονήσω: αλησμονήσω,απολησμονήσω
λησμονεί: αλησμονεί
λησμονείς: αλησμονείς
λησμονείτε: αλησμονείτε
λησμονηθήκαμε: απολησμονηθήκαμε,αλησμονηθήκαμε
λησμονηθήκατε: απολησμονηθήκατε,αλησμονηθήκατε
λησμονηθεί: απολησμονηθεί,αλησμονηθεί
λησμονηθείς: αλησμονηθείς,απολησμονηθείς
λησμονηθείτε: απολησμονηθείτε,αλησμονηθείτε
λησμονηθούμε: αλησμονηθούμε,απολησμονηθούμε
λησμονηθούν: απολησμονηθούν,αλησμονηθούν
λησμονηθώ: απολησμονηθώ,αλησμονηθώ
λησμονημένα: απολησμονημένα
λησμονημένε: απολησμονημένε
λησμονημένες: απολησμονημένες
λησμονημένη: απολησμονημένη
λησμονημένης: απολησμονημένης
λησμονημένο: απολησμονημένο
λησμονημένοι: απολησμονημένοι
λησμονημένος: απολησμονημένος
λησμονημένου: απολησμονημένου
λησμονημένους: απολησμονημένους
λησμονημένων: απολησμονημένων
λησμονησιά: αλησμονησιά
λησμονιά: απολησμονιά,αλησμονιά
λησμονιάς: αλησμονιάς
λησμονιέμαι: απολησμονιέμαι
λησμονιέσαι: απολησμονιέσαι
λησμονιέστε: απολησμονιέστε
λησμονιέται: απολησμονιέται
λησμονιούνται: απολησμονιούνται
λησμονιόμασταν: απολησμονιόμασταν
λησμονιόμαστε: απολησμονιόμαστε
λησμονιόμουν: απολησμονιόμουν
λησμονιόνταν: απολησμονιόνταν
λησμονιόσασταν: απολησμονιόσασταν
λησμονιόσουν: απολησμονιόσουν
λησμονούμε: αλησμονούμε,απολησμονούμε
λησμονούν: απολησμονούν,αλησμονούν
λησμονούσα: αλησμονούσα,απολησμονούσα
λησμονούσαμε: απολησμονούσαμε,αλησμονούσαμε
λησμονούσαν: απολησμονούσαν,αλησμονούσαν
λησμονούσατε: αλησμονούσατε,απολησμονούσατε
λησμονούσε: απολησμονούσε,αλησμονούσε
λησμονούσες: απολησμονούσες,αλησμονούσες
λησμονώ: λησμονήσουμε,λησμονεί,λησμονήσεις,λησμονώντας,λησμόνησες,λησμόνησαν,λησμονούσα,λησμονούσαν,λησμονούν,απολησμονώ,λησμόνησε,λησμονείτε,λησμονήσει,απολησμονιόταν,λησμονούμε,λησμονείς,λησμονούσατε,λησμονούσε,λησμόνησα,λησμονιόταν,λησμονήσατε,λησμονούσαμε,λησμονήσετε,λησμονήσουν,λησμονήσω,λησμονήσαμε,λησμονούσες
λησμονώντας: απολησμονώντας,αλησμονώντας
λησμόνα: απολησμόνα,αλησμόνα
λησμόναγα: απολησμόναγα
λησμόναγαν: απολησμόναγαν
λησμόναγε: απολησμόναγε
λησμόναγες: απολησμόναγες
λησμόνησα: αλησμόνησα,απολησμόνησα
λησμόνησαν: απολησμόνησαν,αλησμόνησαν
λησμόνησε: αλησμόνησε,απολησμόνησε
λησμόνησες: αλησμόνησες,απολησμόνησες
ληστέψαμε: καταληστέψαμε
ληστέψατε: καταληστέψατε
ληστέψει: καταληστέψει
ληστέψεις: καταληστέψεις
ληστέψετε: καταληστέψετε
ληστέψου: καταληστέψου
ληστέψουμε: καταληστέψουμε
ληστέψουν: καταληστέψουν
ληστέψτε: καταληστέψτε
ληστέψω: καταληστέψω
ληστής: ληστή,ληστές,ληστών
ληστεία: ληστείας,ληστειών,ληστείες
ληστεμένα: καταληστεμένα
ληστεμένε: καταληστεμένε
ληστεμένες: καταληστεμένες
ληστεμένη: καταληστεμένη
ληστεμένης: καταληστεμένης
ληστεμένο: καταληστεμένο
ληστεμένοι: καταληστεμένοι
ληστεμένος: καταληστεμένος
ληστεμένου: καταληστεμένου
ληστεμένους: καταληστεμένους
ληστεμένων: καταληστεμένων
ληστευτήκαμε: καταληστευτήκαμε
ληστευτήκατε: καταληστευτήκατε
ληστευτεί: καταληστευτεί
ληστευτείς: καταληστευτείς
ληστευτείτε: καταληστευτείτε
ληστευτούμε: καταληστευτούμε
ληστευτούν: καταληστευτούν
ληστευτώ: καταληστευτώ
ληστευόμασταν: καταληστευόμασταν
ληστευόμαστε: καταληστευόμαστε
ληστευόμουν: καταληστευόμουν
ληστευόντουσαν: καταληστευόντουσαν
ληστευόσασταν: καταληστευόσασταν
ληστευόσαστε: καταληστευόσαστε
ληστευόσουν: καταληστευόσουν
ληστευόταν: καταληστευόταν
ληστεύαμε: καταληστεύαμε
ληστεύατε: καταληστεύατε
ληστεύει: καταληστεύει
ληστεύεις: καταληστεύεις
ληστεύεσαι: καταληστεύεσαι
ληστεύεστε: καταληστεύεστε
ληστεύεται: καταληστεύεται
ληστεύετε: καταληστεύετε
ληστεύομαι: καταληστεύομαι
ληστεύονται: καταληστεύονται
ληστεύονταν: καταληστεύονταν
ληστεύοντας: καταληστεύοντας
ληστεύουμε: καταληστεύουμε
ληστεύουν: καταληστεύουν
ληστεύτηκα: καταληστεύτηκα
ληστεύτηκαν: καταληστεύτηκαν
ληστεύτηκε: καταληστεύτηκε
ληστεύτηκες: καταληστεύτηκες
ληστεύω: λήστευα,ληστεύοντας,ληστέψετε,λήστεψα,ληστεύετε,λήστεψες,ληστεύει,ληστέψαμε,λήστευε,ληστέψατε,ληστεύουμε,λήστευαν,ληστεύεις,καταληστεύω,λήστεψε,ληστεύαμε,ληστεύουν,ληστέψει,λήστεψαν,ληστέψεις,ληστέψουν,ληστέψω,ληστέψουμε
ληστρικός: ληστρικοί,ληστρικό,ληστρικών,ληστρικά,ληστρικούς,ληστρικής,ληστρικού,ληστρική,ληστρικές
ληφθέν: καταληφθέν
ληφθέντα: καταληφθέντα
ληφθέντες: καταληφθέντες
ληφθέντος: καταληφθέντος
ληφθέντων: καταληφθέντων
ληφθεί: καταληφθεί,παραληφθεί
ληφθείς: καταληφθείς,παραληφθείς
ληφθείσα: καταληφθείσα
ληφθείσας: καταληφθείσας
ληφθείσης: καταληφθείσης
ληφθούν: καταληφθούν,παραληφθούν
λιάζομαι: λιαζόμασταν,λιαζόμαστε,λιαζόσασταν,λιαστώ,λιάζεται,λιαζόταν,λιάστηκε,λιάζεστε,λιαζόσουν,λιαστήκατε,λιάζονταν,λιαστούν,λιαστείς,λιάζεσαι,λιάστηκες,λιαστήκαμε,λιαζόμουν,λιαστούμε,λιάσου,λιαστείτε,λιάστηκα,λιάστηκαν,ηλιάζομαι,λιαστεί,λιάζονται
λιακάδα: λιακάδας
λιακωτό: λιακωτού,λιακωτά,λιακωτών
λιανικός: λιανικοί,λιανικούς,λιανικό,λιανικης,λιανικά,λιανικές,λιανικών,λιανική,λιανικού,λιανικώς
λιβάδι: λιβαδιών,λιβάδια,λιβαδιού,λειμώνας
λιβανικά: λιβανικών
λιβελογραφικά: λιβελογραφικών
λιγνός: λιγνής,λιγνή,λιγνό,λιγνού
λιγοστεύω: λιγοστέψουμε,λιγόστευε,λιγοστεύετε,λιγόστεψαν,λιγόστεψα,λιγοστεύαμε,λιγοστέψτε,λιγόστεψες,λιγόστευα,λιγόστεψε,λιγοστεύουν,λιγοστεύεις,λιγοστεύουμε,λιγοστεύατε,λιγοστέψατε,λιγοστέψω,λιγοστεύει,λιγοστέψαμε,λιγοστέψετε,λιγοστέψουν,λιγοστέψει,λιγοστέψεις,λιγόστευες,λιγόστευαν,λιγοστεύοντας
λιγοστός: λιγοστά,λιγοστές,λιγοστής,λιγοστού,λιγοστούς,λιγοστό,λιγοστών,λιγοστή,λιγοστοί
λιγυρός: λιγυρώς
λιγόλογος: λιγόλογες,λιγόλογους,λιγόλογων,λιγόλογης,λιγόλογου,λιγόλογα,λιγόλογοι,λιγόλογη,λιγόλογο
λιγότερος: λιγότερων,λιγότερες,λιγότερου,λιγότερη,λιγότεροι,λιγότερο,λιγότερης,λιγότερους,λιγότερα
λιθοβολισμός: λιθοβολισμούς,λιθοβολισμών,λιθοβολισμό,λιθοβολισμοί,λιθοβόλημα,λιθοβολισμού,πετροβόλημα
λιθοβολώ: λιθοβολήσει,λιθοβολούσε,λιθοβολούσες,λιθοβολώντας,λιθοβολούσαμε,λιθοβολήσω,λιθοβολήσαμε,λιθοβολείτε,λιθοβόλησες,λιθοβόλησα,λιθοβολείς,λιθοβολούν,λιθοβολήσατε,λιθοβολήσουν,λιθοβολεί,λιθοβολούσαν,λιθοβολούμε,λιθοβολούσα,λιθοβόλησαν,λιθοβόλησε,λιθοβολήσετε,πετροβολώ,λιθοβολήσεις,λιθοβολήσουμε,λιθοβολούσατε
λιθογραφικά: λιθογραφικών
λιθοδομικά: λιθοδομικών
λιθοστρώνω: λιθοστρώσαμε,λιθοστρώνατε,λιθοστρώσω,λιθόστρωνε,λιθοστρώνουν,λιθοστρώνετε,λιθοστρώνει,λιθοστρώσει,λιθόστρωσε,λιθοστρώσατε,λιθόστρωνες,λιθοστρώσουμε,λιθόστρωνα,λιθοστρώσετε,λιθοστρώνουμε,λιθοστρώνεις,λιθόστρωσαν,λιθοστρώναμε,λιθοστρώσεις,λιθόστρωσες,λιθόστρωναν,λιθοστρώσουν,λιθοστρώνοντας,λιθόστρωσα
λιθόστρωτο: κυβόλιθος,λιθόστρωτου,λιθόστρωτα,λιθόστρωτων,καλντερίμι
λικνίζομαι: λικνιστήκαμε,λικνιζόσασταν,λικνίστηκε,λικνιζόμουν,λικνίζεστε,λικνιστήκατε,λικνίζονταν,λικνίζονται,λικνίστηκαν,λικνίστηκα,λικνίζεται,λικνιζόταν,λικνίζεσαι,λικνιζόμασταν,λικνιστούμε,λικνιστείτε,λικνίστηκες,λικνιζόσουν,λικνιστώ,λικνιζόμαστε,λικνιστείς,λικνιστεί,λικνιστούν,λικνίσου
λικνίζω: λικνίσατε,λικνίσει,λικνίζουν,λίκνισαν,λικνίσουμε,λικνίζει,λικνίσετε,λικνίζουμε,λικνίσουν,λικνίσαμε,λικνίζοντας,λίκνισε,λικνίσω,λικνίζετε,λικνίζεις,λίκνισες,λίκνισα,λικνίσεις
λιμάνι: λιμανιού,λιμάνια,λιμένας,λιμανιών
λιμάρω: λιμάρουν,λιμάρατε,λιμάρετε,λιμάρεις,λιμάρουμε,λίμαρε,λιμάροντας,λίμαρες,λιμάραμε,λιμάρει,λίμαραν,λίμαρα
λιμένας: λιμάνι,λιμένα,λιμένων,λιμένες
λιμανάκι: λιμανάκια
λιμασμένος: λιμασμένους,λιμασμένη,λιμασμένου,λιμασμένο,λιμασμένες,λιμασμένα,λιμασμένων,λιμασμένης,λιμασμένοι
λιμενάρχης: λιμενάρχη
